short_question,short_answer,tags,label,answer_length,question_length
is all vitamin d the same,hi this means you do not have hepatitis b and that you are immune to hepatitis b so i recommend checking for hepatitis c since alt is high also have gall bladder ultrasound good luck,['vitamin d'],-1.0,182,25
i need relief from chronic epididymitis,hi chronic epididymitis is difficult to heal completely especially if the changes are irreversible in your case this seems to be the case thats why its not responding to any treatment symptomatic treatment is the only option thanks,['chronic epididymitis'],1.0,231,39
how is herpes simplex treated,you should also be strong and take treatment into your own hands i have tried every natural and unnatural remedy out there only one thing worked for me it is an anti herpetic crème from australia called viradux au give that a try among the other items suggested here thx,['herpes simplex'],1.0,270,29
how do you get hepatitis c,can you get hepitist c from sharing food drinks and smoking after them,['hepatitis c'],1.0,70,26
is cirrhosis a form of liver cancer,no they are two different types of liver disease here is a good resource for you <link>,['cirrhosis' 'liver' 'cancer'],1.0,87,35
i have not had a period for 4 months,has to be pregnancy get b hcg test done in another laboratory usg of abdomen will also help localise the ovum inside the uterus,['no menstruation'],1.0,127,36
is viral pneumonia contagious,if you had sex you may be pregnant but there are also another reasons of missing period your period can be irregular or just you could have tried wrong food or had stress etc do not worry,[''],-1.0,187,29
how to correct vitamin b12 deficiency,muscle relaxants are not that helpful and i rarely prescribe them for teenagers and even adults muscle relaxants tend to be overly sedative cold compresses ibuprofen and a restriction of aggravating activities can do wonders over time,['vitamin b12 deficiency'],-1.0,234,37
i have difficulty urinating,what are herpes sores,['urinating problems'],-1.0,21,27
what does ph balance mean,sex is really good anytime but in the later third trimester you may need to modify your usual activity and be more creative your ob can should be the one that gives you the yah or nah at this point,[''],-1.0,197,25
overweight 5 year old girl,being overweight does not necessarily mean that a person over eats sometimes this is congenital and due to her hormonal structure she tends to be fat and overweight she can lose a lot of weight through exercises at this age thanks,['weight problems'],1.0,230,26
what are asthma symptoms,hi is speech affected if yes you can check possibility of amylotrophic lateral sclerosis also check blood electrolytes levels and do a urine analysis good luck,['asthma'],-1.0,159,24
does vinegar stop hair loss in women,the preferred medicine for children with fever is acetaminophen tylenol others ibuprofen advil motrin others and naproxen sodium aleve,['vinegar' 'hair loss'],-1.0,134,36
